DrugBank ID,CAS Number,Drug Groups,InChIKey,SMILES,Formula,KEGG Compound ID,KEGG Drug ID,PubChem Compound ID,PubChem Substance ID,ChEBI ID,ChEMBL ID,HET ID,ChemSpider ID,BindingDB ID
DB04741,76706-55-3,experimental,XKTFQMCPGMTBMD-FYHMSGCOSA-N,CO[C@@H](\C=C\C1=CSC(=N1)C1=CSC(=N1)[C@@H](C)\C=C\C=C\C(C)C)[C@@H](C)C(\OC)=C/C(N)=O,C25H33N3O3S2,C15674,,10972974,46507900,25461,CHEMBL454568,MYX,9148180,
DB04742,,experimental,QIZKCGBBVPUBJL-ZYHUDNBSSA-N,[H][C@@](NC(=O)CC1=CC=CS1)(C=O)[C@@]1([H])SCCC(=N1)C(O)=O,C13H14N2O4S2,,,5288990,46505603,,,NCF,4451047,
DB04743,51803-78-2,approved; investigational; withdrawn,HYWYRSMBCFDLJT-UHFFFAOYSA-N,CS(=O)(=O)NC1=C(OC2=CC=CC=C2)C=C(C=C1)[N+]([O-])=O,C13H12N2O5S,,D01049,4495,46507721,44445,CHEMBL56367,NIM,4339,50056999
DB04744,83-72-7,experimental,CSFWPUWCSPOLJW-UHFFFAOYSA-N,OC1=CC(=O)C2=CC=CC=C2C1=O,C10H6O3,C10368,,6755,46509125,44401,CHEMBL240963,NQ,10430995,50049066
DB04745,,experimental,LISFMEBWQUVKPJ-UHFFFAOYSA-N,O=C1NC2=CC=CC=C2C=C1,C9H7NO,C06338,,6038,46507969,18289,CHEMBL186422,OCH,5816,50366034
DB04746,,experimental,GKJZMAHZJGSBKD-NMMTYZSQSA-N,CCCCC\C=C/C=C/CCCCCCCCC(O)=O,C18H32O2,,,5282800,46507143,44526,CHEMBL1093743,ODD,4445927,50394662
DB04747,,experimental,ZSXWVPXJLXTOQQ-ZRGCPWHVSA-N,CC\C=C/C=C/C=C/CCCCCCCCCC(O)=O,C18H30O2,,,5494436,46507059,44602,,ODT,4591884,
DB04748,,experimental,PJLSJXTZOMOVBI-KKWNBLJUSA-N,C(C)(C)CN(C[C@@H](O)[C@@H](NC(=O)[C@H](C(C)C)N1CCN(CC2=CSC(C)=N2)C1=O)CC1=CC=CC=C1)S(=O)(=O)C1=CC=C(C=C1)\C=N\O,C34H46N6O6S2,,,9600417,46506131,,,OIS,7874556,12210
DB04749,,experimental,LHLHVBHXBHTTIV-UHFFFAOYSA-M,[S-]CCC(=O)SCCC=O,C6H9O2S2,,,5289078,46506358,,,OPS,4451113,
DB04750,,experimental,BRJCLSQFZSHLRL-UHFFFAOYSA-N,OC(=O)C1=CC(C(O)=O)=C(C=C1)C1=C2C=C(F)C(=O)C=C2OC2=CC(O)=C(F)C=C12,C21H10F2O7,,,5289081,46508978,44777,,ORE,4451116,
DB04751,212844-53-6,experimental,PMXCMJLOPOFPBT-HNNXBMFYSA-N,[H][C@@](CO)(NC1=NC(NC2=CC=CC(Cl)=C2)=C2N=CN(C(C)C)C2=N1)C(C)C,C19H25ClN6O,,,456214,46506488,47600,CHEMBL23327,P01,401707,27216
DB04752,,experimental,PGYPLYNHOCZJEB-JSTCSLLMSA-N,[H]\C(CCCCCC)=C(/[H])CCCCCCCC(=O)O[C@@]([H])(COC(=O)CCCCCCC\C([H])=C(\[H])CCCCCCCC)COP(O)(=O)OCCO,C39H73O9P,,,52946593,46504958,,,P0E,26354086,
DB04753,,experimental,ZOEDLCUBOBTIHG-USQSKNHBSA-N,OC[C@H]1O[C@H]([C@@H]2O[C@H](CP(O)(O)=O)O[C@H]12)C1=CNC2=C1NC=NC2=O,C13H16N3O8P,,,5327013,46508981,,,P1D,4484281,
DB04754,,experimental,HYAPEMYRVFIHDJ-QWEIRQIHSA-N,NC1=NC(=O)C2=C(N1)N(C=N2)[C@@H]1O[C@H](CO)[C@H]2O[C@@H](CP(O)(O)=O)O[C@@H]12,C12H16N5O8P,,,5327012,46506626,,,P1G,4484280,
DB04755,,experimental,GVQSIYRMPBGDCV-UHFFFAOYSA-N,[O-]CCCOP(=O)=O,C3H6O4P,,,49867456,46506057,,,P1P,22377919,
DB04756,,experimental,SNAMTVTZDPUVRA-UHFFFAOYSA-N,OOOC1=C(Cl)C=C(NC2=CC=CC=C2C(O)=O)C=C1Cl,C13H9Cl2NO5,,,4369477,46505426,,,P2C,3572023,
DB04757,,experimental,GKAPYWCOOQBBHV-KXSYMAMXSA-N,NC1=NC(=O)C2=C(N1)N(C=N2)[C@@H]1O[C@H](CO)[C@H]2O[C@@H](O[C@@H]12)P(O)(O)=O,C11H14N5O8P,,,5327014,46505178,,,P2G,4484282,
DB04758,,experimental,FJGWLOKDOKYXMU-FCHUYYIVSA-N,CCS(=O)(=O)N[C@H](CC1=CNC2=CC=CC=C12)C(=O)N[C@@H](CCC(N)=O)C(=O)NCC1=CC=C(C=C1)C(N)=N,C26H33N7O5S,,,5326883,46508470,,,P5B,4484175,
DB04759,,experimental,GTBUZLPQANSGGE-UHFFFAOYSA-N,CC1=CC(CNC(=O)C2=CC(=NC=N2)C(=O)NCC2=CC=CC(C)=C2)=CC=C1,C22H22N4O2,,,5289109,46508426,,CHEMBL511942,PB3,4451138,16595
DB04760,,experimental,PYFRREJCFXFNRR-UHFFFAOYSA-N,CC1=C(F)C=CC(CNC(=O)C2=CC(=NC=N2)C(=O)NCC2=CC(C)=C(F)C=C2)=C1,C22H20F2N4O2,,,5289110,46504472,,CHEMBL514794,PB4,4451139,16596
